	AAB_ddlogFC	AAB_FDR	ABB_ddlogFC	ABB_FDR	is_ChrR	sig_either
C3_05050W_B	1.10370276130142	8.75468939080358e-05	1.00056733339093	0.0002981096590793	False	True
C4_00850C_A	-0.954280667951546	9.19143628909454e-05	-1.00085304598506	9.73512124428775e-05	False	True
C4_00130W_A	-0.680162642513446	9.19143628909454e-05	-0.672565391181402	0.000100559782348	False	True
CR_05250C_A	0.484800824052055	9.37801706718684e-05	-0.0612537554831852	0.628104820890868	True	True
C7_03600W_B	-0.628029088289342	9.39122831685718e-05	-0.826953282865673	4.97575783187198e-06	False	True
CR_07700W_B	0.496491514102663	9.46327665654336e-05	0.295082038936856	0.0074470441785359	True	True
C7_01760C_A	0.742675139170011	9.63510437264366e-05	0.616540461299739	0.0005794618227964	False	True
C4_05730W_A	-0.836890095015431	0.0001006450464121	-1.01701626899106	1.50717883353305e-05	False	True
C1_01490W_A	0.582596626486277	0.0001008747394599	0.338642735137071	0.0096950804204244	False	True
C4_01150W_A	0.633228895568884	0.0001012551467432	0.651185414836744	9.16252463789782e-05	False	True
C6_02210W_A	-0.871988540851608	0.0001012551467432	-1.13748216585851	6.28616023068368e-06	False	True
C1_04460C_A	0.650364801521349	0.0001023014282451	0.56047881251536	0.0004214823622821	False	True
C2_06070W_B	0.551215989435528	0.0001046702370915	0.251664965747708	0.0384756559035193	False	True
C3_04480C_B	0.618759492513761	0.0001046702370915	0.395277910344177	0.0056767033956589	False	True
C4_02540W_B	0.566751960808341	0.0001046702370915	0.339896526895322	0.0084369136258453	False	True
CR_00740C_A	-0.700041114874926	0.0001046702370915	-0.771249437591431	3.76124622686082e-05	True	True
C1_11400C_A	-0.578535377492099	0.0001046702370915	-0.734758619935276	9.49382859748525e-06	False	True
C1_04460C_B	0.69060380953635	0.0001046702370915	0.581182291436374	0.0005538416492294	False	True
C6_00190W_B	-0.453679692342837	0.000104861326457	-0.309967588622295	0.0035368655326301	False	True
CR_07000C_A	-0.482482166622805	0.000104861326457	-0.263762929437092	0.0169482479067614	True	True
C2_08055W_B	0.734242023036895	0.000105309303936	0.761969270664438	6.780243776213e-05	False	True
CR_02620C_B	0.525035042938962	0.000105309303936	0.302956233124717	0.0098057038805192	True	True
C1_02180W_B	0.756104025845857	0.0001055074308075	0.793863386753376	6.00483490527319e-05	False	True
C2_08055W_A	0.733951480812867	0.000106146230416	0.750117335117949	8.17098305648372e-05	False	True
C5_04310W_B	0.69635973381535	0.0001066176079422	0.673592627313098	0.0001791964267879	False	True
C2_05640W_A	0.519140315838099	0.0001066176079422	0.432864012851746	0.0006006553988552	False	True
C3_01480C_B	0.870000342266767	0.0001068935854079	0.629002454006737	0.002688843681445	False	True
CR_04570C_A	-0.487759985597594	0.0001068935854079	-0.300617202471635	0.0084611594371716	True	True
C3_01480C_A	1.08623770154665	0.0001076675525307	0.895837434211299	0.0010175273655929	False	True
CR_08750C_A	-2.098371970863	0.0001076675525307	-1.78306030567593	0.0014192877289056	True	True
C3_00320W_A	0.613075592107388	0.0001076675525307	0.705727357051226	2.33655734295843e-05	False	True
C3_00880W_B	0.542156821254362	0.0001096257676369	0.490153770166002	0.0002952892259484	False	True
C4_04530C_B	-0.691044131115212	0.0001108477420605	-0.443842943155806	0.0053843001191609	False	True
C1_13670W_B	0.610517955077723	0.0001120173516974	0.542007913771325	0.0003717271318832	False	True
C1_05340C_A	0.611128572336737	0.0001157037354375	0.467046299367759	0.0014329879333267	False	True
C7_03560W_A	1.10834537243979	0.0001165139675137	1.38726432348852	5.85156776134869e-06	False	True
C2_00400C_A	0.549578758275882	0.0001173383535559	0.443357060676573	0.0010160227699955	False	True
C2_07660W_A	-0.810000805814912	0.0001179324102116	-0.719592897670126	0.0004071533304441	False	True
C3_06890W_A	-0.469496614167515	0.0001179324102116	-0.280939613668182	0.0094146014903051	False	True
C4_00110C_A	-0.589795254274102	0.0001195027752847	-0.525214689444309	0.0004017256282122	False	True
C2_01180W_A	0.552847808125376	0.0001209004726984	0.442073958108825	0.0012893318036437	False	True
C5_02390C_B	0.54527967511725	0.0001226006068667	0.517504072393233	0.0002559878340835	False	True
